统计,,,,,,,,,,,
最大值,7.2,@,29,,,,,,,,
最小值,0.0,@,1,,,,,,,,
平均值,2.72,,,,,,,,,,
数据数量,309,,,,,,,,,,
NG次数,0,,,,,,,,,,
数量,力量,单位,位移,单位,合格判定,姿势,时间,日期,测定者,
178,6.9,N,0.000,mm,OK,--,0:21:39,2024/10/10,--,
179,6.9,N,0.000,mm,OK,--,0:21:39,2024/10/10,--,
180,6.9,N,0.000,mm,OK,--,0:21:40,2024/10/10,--,
181,6.9,N,0.000,mm,OK,--,0:21:40,2024/10/10,--,
182,6.9,N,0.000,mm,OK,--,0:21:40,2024/10/10,--,
183,6.9,N,0.000,mm,OK,--,0:21:40,2024/10/10,--,
184,0.0,N,0.000,mm,OK,--,0:21:40,2024/10/10,--,
185,0.0,N,0.000,mm,OK,--,0:21:40,2024/10/10,--,
186,0.0,N,0.000,mm,OK,--,0:21:40,2024/10/10,--,
187,0.0,N,0.000,mm,OK,--,0:21:40,2024/10/10,--,
188,0.0,N,0.000,mm,OK,--,0:21:40,2024/10/10,--,
189,0.0,N,0.000,mm,OK,--,0:21:41,2024/10/10,--,
190,6.9,N,0.000,mm,OK,--,0:21:41,2024/10/10,--,
191,6.8,N,0.000,mm,OK,--,0:21:41,2024/10/10,--,
192,6.8,N,0.000,mm,OK,--,0:21:41,2024/10/10,--,
193,6.8,N,0.000,mm,OK,--,0:21:41,2024/10/10,--,
194,6.8,N,0.000,mm,OK,--,0:21:41,2024/10/10,--,
195,6.8,N,0.000,mm,OK,--,0:21:41,2024/10/10,--,
196,6.8,N,0.000,mm,OK,--,0:21:41,2024/10/10,--,
197,0.0,N,0.000,mm,OK,--,0:21:41,2024/10/10,--,
198,0.0,N,0.000,mm,OK,--,0:21:41,2024/10/10,--,
199,0.0,N,0.000,mm,OK,--,0:21:41,2024/10/10,--,
200,0.0,N,0.000,mm,OK,--,0:21:42,2024/10/10,--,
201,0.0,N,0.000,mm,OK,--,0:21:42,2024/10/10,--,
202,0.0,N,0.000,mm,OK,--,0:21:42,2024/10/10,--,
203,6.7,N,0.000,mm,OK,--,0:21:42,2024/10/10,--,
204,6.6,N,0.000,mm,OK,--,0:21:42,2024/10/10,--,
205,6.6,N,0.000,mm,OK,--,0:21:42,2024/10/10,--,
206,6.6,N,0.000,mm,OK,--,0:21:42,2024/10/10,--,
207,6.6,N,0.000,mm,OK,--,0:21:42,2024/10/10,--,
208,6.6,N,0.000,mm,OK,--,0:21:42,2024/10/10,--,
209,0.0,N,0.000,mm,OK,--,0:21:43,2024/10/10,--,
210,0.0,N,0.000,mm,OK,--,0:21:43,2024/10/10,--,
211,0.0,N,0.000,mm,OK,--,0:21:43,2024/10/10,--,
212,0.0,N,0.000,mm,OK,--,0:21:43,2024/10/10,--,
213,0.0,N,0.000,mm,OK,--,0:21:43,2024/10/10,--,
214,0.0,N,0.000,mm,OK,--,0:21:43,2024/10/10,--,
215,6.6,N,0.000,mm,OK,--,0:21:43,2024/10/10,--,
216,6.1,N,0.000,mm,OK,--,0:21:43,2024/10/10,--,
217,6.1,N,0.000,mm,OK,--,0:21:43,2024/10/10,--,
218,6.0,N,0.000,mm,OK,--,0:21:43,2024/10/10,--,
219,6.0,N,0.000,mm,OK,--,0:21:43,2024/10/10,--,
220,6.2,N,0.000,mm,OK,--,0:21:44,2024/10/10,--,
221,6.2,N,0.000,mm,OK,--,0:21:44,2024/10/10,--,
222,0.0,N,0.000,mm,OK,--,0:21:44,2024/10/10,--,
223,0.0,N,0.000,mm,OK,--,0:21:44,2024/10/10,--,
224,0.0,N,0.000,mm,OK,--,0:21:44,2024/10/10,--,
225,0.0,N,0.000,mm,OK,--,0:21:44,2024/10/10,--,
226,0.0,N,0.000,mm,OK,--,0:21:44,2024/10/10,--,
227,0.0,N,0.000,mm,OK,--,0:21:44,2024/10/10,--,
228,5.6,N,0.000,mm,OK,--,0:21:44,2024/10/10,--,
229,5.6,N,0.000,mm,OK,--,0:21:44,2024/10/10,--,
230,5.6,N,0.000,mm,OK,--,0:21:45,2024/10/10,--,
231,5.6,N,0.000,mm,OK,--,0:21:45,2024/10/10,--,
232,5.5,N,0.000,mm,OK,--,0:21:45,2024/10/10,--,
233,6.6,N,0.000,mm,OK,--,0:21:45,2024/10/10,--,
234,0.0,N,0.000,mm,OK,--,0:21:45,2024/10/10,--,
235,0.0,N,0.000,mm,OK,--,0:21:45,2024/10/10,--,
236,0.0,N,0.000,mm,OK,--,0:21:45,2024/10/10,--,
237,0.0,N,0.000,mm,OK,--,0:21:45,2024/10/10,--,
238,0.0,N,0.000,mm,OK,--,0:21:45,2024/10/10,--,
239,0.0,N,0.000,mm,OK,--,0:21:45,2024/10/10,--,
240,6.0,N,0.000,mm,OK,--,0:21:46,2024/10/10,--,
241,5.0,N,0.000,mm,OK,--,0:21:46,2024/10/10,--,
242,5.0,N,0.000,mm,OK,--,0:21:46,2024/10/10,--,
243,5.0,N,0.000,mm,OK,--,0:21:46,2024/10/10,--,
244,4.9,N,0.000,mm,OK,--,0:21:46,2024/10/10,--,
245,6.5,N,0.000,mm,OK,--,0:21:46,2024/10/10,--,
246,4.5,N,0.000,mm,OK,--,0:21:46,2024/10/10,--,
247,0.0,N,0.000,mm,OK,--,0:21:46,2024/10/10,--,
248,0.0,N,0.000,mm,OK,--,0:21:46,2024/10/10,--,
249,0.0,N,0.000,mm,OK,--,0:21:46,2024/10/10,--,
250,0.0,N,0.000,mm,OK,--,0:21:47,2024/10/10,--,
251,0.0,N,0.000,mm,OK,--,0:21:47,2024/10/10,--,
252,0.0,N,0.000,mm,OK,--,0:21:47,2024/10/10,--,
253,3.7,N,0.000,mm,OK,--,0:21:47,2024/10/10,--,
254,4.6,N,0.000,mm,OK,--,0:21:47,2024/10/10,--,
255,4.6,N,0.000,mm,OK,--,0:21:47,2024/10/10,--,
256,4.6,N,0.000,mm,OK,--,0:21:47,2024/10/10,--,
257,4.6,N,0.000,mm,OK,--,0:21:47,2024/10/10,--,
258,6.6,N,0.000,mm,OK,--,0:21:47,2024/10/10,--,
259,0.0,N,0.000,mm,OK,--,0:21:48,2024/10/10,--,
260,0.0,N,0.000,mm,OK,--,0:21:48,2024/10/10,--,
261,0.0,N,0.000,mm,OK,--,0:21:48,2024/10/10,--,
262,0.0,N,0.000,mm,OK,--,0:21:48,2024/10/10,--,
263,0.0,N,0.000,mm,OK,--,0:21:48,2024/10/10,--,
264,0.0,N,0.000,mm,OK,--,0:21:48,2024/10/10,--,
265,4.5,N,0.000,mm,OK,--,0:21:48,2024/10/10,--,
266,2.7,N,0.000,mm,OK,--,0:21:48,2024/10/10,--,
267,3.7,N,0.000,mm,OK,--,0:21:48,2024/10/10,--,
268,3.7,N,0.000,mm,OK,--,0:21:48,2024/10/10,--,
269,3.7,N,0.000,mm,OK,--,0:21:48,2024/10/10,--,
270,6.6,N,0.000,mm,OK,--,0:21:49,2024/10/10,--,
271,2.6,N,0.000,mm,OK,--,0:21:49,2024/10/10,--,
272,0.0,N,0.000,mm,OK,--,0:21:49,2024/10/10,--,
273,0.0,N,0.000,mm,OK,--,0:21:49,2024/10/10,--,
274,0.0,N,0.000,mm,OK,--,0:21:49,2024/10/10,--,
275,0.0,N,0.000,mm,OK,--,0:21:49,2024/10/10,--,
276,0.0,N,0.000,mm,OK,--,0:21:49,2024/10/10,--,
277,0.0,N,0.000,mm,OK,--,0:21:49,2024/10/10,--,
278,0.0,N,0.000,mm,OK,--,0:21:49,2024/10/10,--,
279,0.0,N,0.000,mm,OK,--,0:21:49,2024/10/10,--,
280,0.0,N,0.000,mm,OK,--,0:21:50,2024/10/10,--,
281,0.0,N,0.000,mm,OK,--,0:21:50,2024/10/10,--,
282,0.0,N,0.000,mm,OK,--,0:21:50,2024/10/10,--,
283,0.0,N,0.000,mm,OK,--,0:21:50,2024/10/10,--,
284,0.0,N,0.000,mm,OK,--,0:21:50,2024/10/10,--,
285,0.0,N,0.000,mm,OK,--,0:21:50,2024/10/10,--,
286,0.0,N,0.000,mm,OK,--,0:21:50,2024/10/10,--,
